ANCESTOR_CONCEPT_ID,DESCENDANT_CONCEPT_ID,MIN_LEVELS_OF_SEPARATION,MAX_LEVELS_OF_SEPARATION
4180628,313217,5,6
4179141,4146173,2,2
21500574,1118084,4,4
21505770,1119510,0,0
21503967,40162522,5,6
36203060,40479422,4,4
36151386,1119510,0,0
21502552,1112807,4,4
40765628,40769189,2,2
44339646,19128009,2,2
44337799,1521369,0,0
44339264,1124957,0,0
45652937,1125315,0,0
45622421,1713332,0,0
45640391,1125315,0,0
45632061,1119510,0,0
45629773,1539403,0,0
45654298,1177480,0,0
45624364,19008572,2,3
45686394,975125,0,0
45781198,933724,0,0
45687104,46233710,2,3
45687749,19008572,2,3
46242471,1112807,0,0
45703024,1728416,0,0
46242546,40229134,2,3
45798499,1000560,0,0
46297520,1119510,0,0
45691093,1125315,0,0
46293532,1125315,0,0
45799320,1119510,0,0
46309333,1129625,0,0
45897346,1107882,2,3
253549,4048695,5,6
4179141,4149245,2,2
21500574,1177480,4,4
21505770,1192710,0,0
21500363,46275916,5,6
35902851,198809,4,4
36155724,1119510,0,0
21502552,1367571,4,4
40765628,40769179,2,2
44362889,40223834,2,3
44337803,933724,0,0
44339286,1539403,0,0
45652938,1125315,0,0
45622707,791967,0,0
45640297,1125315,0,0
45632149,1119510,0,0
45629693,1521369,0,0
45655401,1177480,0,0
45624375,43012036,2,3
45686437,975125,0,0
45781644,1717327,0,0
45687187,19074843,2,3
45687303,40232448,2,3
46242526,1115008,0,0
45702872,920293,0,0
46242294,19008572,2,3
45798500,1310149,0,0
46292863,1119510,0,0
45691287,1125315,0,0
46293704,1125315,0,0
45799552,1119510,0,0
46309473,1129625,0,0
45894646,43012036,2,3
253549,4149245,5,6
4154161,4296205,2,2
21500574,1305058,4,4
21505771,1174888,0,0
21505691,40173590,5,6
35802133,40480160,4,4
36155807,1119510,0,0
21502552,1310149,4,4
40765628,40769184,2,2
44362900,1154615,2,3
44337807,1115008,0,0
44339423,1738521,0,0
45653079,1125315,0,0
45622708,1343916,0,0
45640350,1125315,0,0
45632086,1119510,0,0
45629693,19127890,0,0
45654761,1177480,0,0
45624843,40162522,2,3
45686512,975125,0,0
45781652,1124300,0,0
45687237,1107882,2,3
45687230,1115171,2,3
46242529,1738521,0,0
45702874,1307863,0,0
46242368,19008572,2,3
45798510,1124300,0,0
46293239,1119510,0,0
45691366,1125315,0,0
46293589,1125315,0,0
45799671,1119510,0,0
46309362,1129625,0,0
45894753,43012036,2,3
253549,4278672,5,6
4154161,4299128,2,2
21500574,1112807,4,4
21505771,1129625,0,0
21505696,40236446,5,6
36002886,4048171,4,4
36155941,1119510,0,0
21502552,1322184,4,4
40765628,40769194,2,2
44363088,19059056,2,3
44337888,1000560,0,0
44339288,705944,0,0
45653127,1125315,0,0
45622661,1115008,0,0
45640480,1125315,0,0
45632160,1119510,0,0
45629693,1549786,0,0
45654876,1177480,0,0
45668913,40232448,2,3
45685530,975125,0,0
45781436,967823,0,0
45687171,40232448,2,3
45687690,40232448,2,3
46242531,757627,0,0
45702879,967823,0,0
46241199,40232448,2,3
45798292,967823,0,0
46293425,1119510,0,0
45691370,1125315,0,0
46293606,1125315,0,0
45799659,1119510,0,0
46303833,1129625,0,0
45894768,1127433,2,3
253549,40479768,5,6
4154161,4001336,2,2
21500574,19010482,4,4
21505771,1192710,0,0
21601238,46275916,5,6
36002141,4280726,4,4
36156016,1119510,0,0
4180941,4125906,4,4
37520653,44783196,2,2
44362914,40231925,2,3
44337890,1343916,0,0
44339290,975125,0,0
45653151,1125315,0,0
45622723,738818,0,0
45640534,1125315,0,0
45631865,1119510,0,0
45629671,1500211,0,0
45654802,1177480,0,0
45668842,40228230,2,3
45680343,975125,0,0
45781446,1115008,0,0
45687184,19075001,2,3
45687839,19077572,2,3
46240468,1192710,0,0
45702968,920293,0,0
46241250,1545959,2,3
45798300,1729720,0,0
46293304,1119510,0,0
45691344,1125315,0,0
46293610,1125315,0,0
45799578,1119510,0,0
46303855,1129625,0,0
45896749,40232448,2,3
253549,4066995,5,6
4027255,4329847,2,2
21500574,1129625,4,4
21505775,1174888,0,0
21604253,40229134,5,6
36002141,40486433,4,4
36155943,1119510,0,0
21502550,1000560,4,4
37219942,255848,2,2
44362916,1115171,2,3
44337891,1539403,0,0
44339090,1149380,0,0
45653423,1125315,0,0
45622950,738818,0,0
45640523,1125315,0,0
45632192,1119510,0,0
45629677,740275,0,0
45651402,1177480,0,0
45668889,920334,2,3
45676890,975125,0,0
45781202,967823,0,0
45687209,19075601,2,3
45684256,19019273,2,3
46240499,1539403,0,0
45702980,1729720,0,0
46241163,19077572,2,3
45798302,1112807,0,0
46293457,1119510,0,0
45690976,1125315,0,0
46293746,1125315,0,0
45796709,1119510,0,0
46303929,1129625,0,0
45896653,40163554,2,3
253549,40479422,5,6
4105895,4295880,2,2
21500574,1115008,4,4
21505776,1119510,0,0
21604253,19133768,5,6
36002868,40486433,4,4
36155882,1119510,0,0
21502550,975125,4,4
37622482,317576,2,2
44363103,40162522,2,3
44338028,1112807,0,0
44339293,1545958,0,0
45653425,1125315,0,0
45622557,1174888,0,0
45640442,1125315,0,0
45632006,1119510,0,0
45629620,1107830,0,0
45651651,1177480,0,0
45668843,19073183,2,3
45677086,975125,0,0
45781591,933724,0,0
45687210,19133905,2,3
45684374,40163554,2,3
46240710,1545958,0,0
45702986,1551099,0,0
46238234,1332419,2,3
45798424,1759842,0,0
46296565,1119510,0,0
45688744,1125315,0,0
46293751,1125315,0,0
45796843,1119510,0,0
46307067,1129625,0,0
45896421,782047,2,3
253549,4059173,5,6
4105895,4197460,2,2
21500574,1125315,4,4
21505819,1129625,0,0
21604253,40162522,5,6
36002139,433644,4,4
36156211,1119510,0,0
21502550,914335,4,4
40228299,42902245,2,2
44363026,40162522,2,3
44338031,1129625,0,0
44339580,1129625,0,0
45653531,1125315,0,0
45622736,1115008,0,0
45640538,1125315,0,0
45632012,1119510,0,0
45629628,738818,0,0
45651272,1177480,0,0
45668645,19075001,2,3
45677281,975125,0,0
45781215,738818,0,0
45687210,19133873,2,3
45684300,40223768,2,3
46240710,1332418,0,0
45703055,1332418,0,0
46238508,1127433,2,3
45798523,1107830,0,0
46296644,1119510,0,0
45688020,1125315,0,0
